Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
FCX,Freeport-McMoRan,NYSE,United States,"Indonesia, USA, Peru, Chile","Arizona, New Mexico",Producer,"Grasberg (Indonesia), Morenci (AZ), Cerro Verde (Peru)","Bagdad, Safford, Sierrita, Miami (AZ), Chino, Tyrone (NM), El Abra (Chile)",World's largest publicly traded copper producer; 48.76% Grasberg; Gold & Molybdenum
SCCO,Southern Copper Corporation,NYSE,United States,"Mexico, Peru","Sonora, Arequipa",Producer,"Buenavista, La Caridad (Mexico), Toquepala, Cuajone (Peru)","Tia Maria (development), Los Chancas, Michiquillay",Lowest-cost producer; Largest copper reserves; Grupo Mexico majority-owned
BHP,BHP Group,NYSE,Australia,"Chile, Australia, USA","Antofagasta, SA, AZ",Producer,"Escondida (Chile - world's largest), Olympic Dam (Australia)",Resolution Copper (AZ - development),Diversified miner; 57.5% Escondida; Iron ore primary business
RIO,Rio Tinto,NYSE,United Kingdom,"Mongolia, USA, Australia","Utah, Pilbara",Producer,"Oyu Tolgoi (Mongolia - 66%), Kennecott (Utah)",Resolution Copper (45% with BHP) Winu (Australia),Diversified; 4th largest copper mine by 2030 (Oyu Tolgoi)
GLEN,Glencore,LSE,Switzerland,"Global - DRC, Zambia, Chile, Australia, Peru, Kazakhstan","Katanga, Copperbelt",Producer & Processor,"Mutanda (DRC), Katanga (DRC), Collahuasi (Chile - 44%), Antamina (Peru - 33.75%)","Alumbrera (Argentina), Mount Isa (Australia)",Integrated trader/producer; Large zinc & cobalt producer
ANTO,Antofagasta,LSE,United Kingdom,Chile,Antofagasta,Producer,"Los Pelambres, Centinela, Antucoya, Zaldívar",None currently in development,Pure-play copper; UK-listed but Chile-focused; Family-controlled (Luksic)
AA,Anglo American,LSE,United Kingdom,"Chile, Peru","Antofagasta, Cajamarca",Producer,"Los Bronces (Chile), Collahuasi (Chile - 44%), Quellaveco (Peru)",None in near-term development,Potential Rio Tinto merger target; Diversified (platinum group metals primary)
TECK,Teck Resources,NYSE,Canada,"Chile, Peru","Antofagasta, Cajamarca",Producer,Quebrada Blanca Phase 2 (Chile - ramping up),"Highland Valley (BC - sold 2024), Carmen de Andacollo (Chile)",Coal primary business; Transitioning to copper focus; QB2 major growth
VALE,Vale S.A.,NYSE,Brazil,"Brazil, Canada","Para, Bahia, ON",Producer,"Salobo (Brazil), Sossego (Brazil)",Sudbury (Canada - nickel-copper),Iron ore primary; Copper secondary; Large nickel operations
FM,First Quantum Minerals,TSX,Canada,"Zambia, Peru, Panama, Argentina","Copperbelt, Cajamarca",Producer,"Cobre Panama (suspended 2023), Kansanshi (Zambia), Sentinel (Zambia)","Las Cruces (Spain - suspended), Guelb Moghrein (Mauritania)",Panama operations halted; Zambia is core; Seeking restart of Cobre Panama
